story,maslow
Woke up to find his favorite plant dead. Learned his company was laying everyone off. Won the lottery the next day.,0
Tom is an every day average person leaving his office job to go to a routine doctor's appointment. The doctor examines tom and gives him some extra tests. Tom finds out he has a serious incurable disease.,0
There was once a boy that was very sick at a young age. He was taken to a world famous doctor to find out why he was sick. The doctor found out what was ailing the boy and cured him and now the boy is happy and healthy.,0
"There was a car accident on the road, and she broke her leg. She is rest the bed in the room but it is sad of the mind Because she was a ballerina about to perform.",0
The three friends are going to the restaurant and enjoying the meals. The john is blood level is very low so admitted in hospital. The jack is very scary because he slept in bad dreams.,0
The pregnant lady is visiting the hospital The lady is asked to get admitted The baby is born,0
"The lady thought she could eat as many donuts as she wanted. Now she is feeling sick And after a year, she gained a lot of weight.",0
The kid was sick in the hospital The doctor came to visit The doctor said that the kid's parents were just called to pick him up and that he is going to be okay,0
The homeless man lost his job and had to beg for money. He saved all the money people gave him. He was able to buy a house will all the saved up money.,0
The boy was playing football in a ground He doing his job very well but he eat sweet too much. He was very feel for his fat,0
The boy had a high fever so he is admitted in a hospital The old women struggle in her life to cure her grandson .no one help to her Eventually he got psychosis due to high fever.,0
"The boy admitted in a hospital He become a army man after being cured. He retires from the military, receives a pension, and watches tv on the weekends.",0
Sue and her son johnny are driving to go see their family in town. Sue gets distracted and crashes into the car in front of them. Johnny gets badly injured in the crash and has to spent weeks in the hospital.,0
"Steve worked hard as an accountant. One day, his company filled for bankruptcy and had to let him go. He couldn't find another job and ended up becoming homeless.",0
"Stephanie was feeling sick so she went to see her doctor. The doctor told her she was just run down and needed to rest. After resting up, stephanie felt so much better and was able to enjoy a laugh with her friends the next day.",0
Stella went for gambling because she needs money badly. Luckily that was her night and she won lot of money She cannot control her happiness and laughed to hell about the money she won.,0
Sofy went for shopping and brought some food items After reaching home she ate some of the food without knowing that they are stale After some time she started vomiting and was taken to hospital,0
Sofia plan to take class for her students But she forget about the class and start eating. At last the principal scolded her about the class she forget to take,0
"She is affected in fever so, she is admitted in hospital treatment. She is affected by acne because of the heat, so she feels sad. She found out that the skin disease was contagious, and that prevented her from being invited to the party.",0
Scott worked long physical hours at his job and was feeling burnt out Scott decided to get on a plane and take a vacation Scott went to the beach and enjoyed himself in tropical paradise for a week,0
Sara was a 90 years old-lady. Sara did not have enough to eat. Because of hunger she died at last.,0
"Sandy was tired of living with her abusive parents and decided to run away from home. She took the road to the right and walked for a very long time. She couldn't go on, so she set down in a box and began begging for money.",0
San felt very hungry after having continous online classes. He thought of going to the nearby pizza store but it was a heavy rain. But for san's surprise his mom has preapared him a yummy treat.,0
"Sam had always been overweight. He decided to change his diet and committed to regular exercise. After a year, he lost a significant amount of weight and felt better than ever.",0
Peter was sick and needed to stay in the hospital He longed to play soccer once more. His friend hannah the ballerina came to visit him and cheer him up!,0
Peter is a young boy always used to stay on the bed lying and watching tv when he is at home. He goes only to dine out and eats too much food without any physical activity. One fine day he became obese and everyone started to laugh at him which made him feel a shame.,0
"Mr. brown was nearing retirement age and looking forward to spending his golden years in comfort. To boost his retirement income, mr. brown invested his savings in a fund that promised to return a high percentage. However, the fund turned out to be a scam and mr. brown lost his savings and his home, leaving him homeless and broke.",0
Mia decided to become instantly rich with the amount she had. Mia decides to achieve it through gambling. But mia's decision ended up wrong. he lost all the money he had and became a debtor.,0
"Melissa jones is lucky because she can eat all the sweet snacks she wants and never gain weight. Her brother, robert, is not so lucky and has to watch his sweet intake very carefully, which is not easy for him since he has quite a sweet tooth and enjoys snacks very much. Their parents decide to help the family eat more nutritious foods by giving them lots of fresh fruit to enjoy, which they thoroughly do.",0
"Mary's family was sitting at the dinner table ready to eat their meal. Mary told them the meal was still cooking and was not ready, so they would have to wait. They were impatient, so mary went to taste it on the stove and burned her mouth badly.",0
"Mark was once a very healthy person and avid runner. One day he became severely ill and had to be admitted to the hospital. Sadly, his doctor told him he was terminally ill from an incurable disease.",0
Mark planned a small get together with his friends in a restaurant. He met with an accident on his way to the restaurant. He was immediately shifted to hospital and is in icu after receiving multiple injuries.,0
"Kirby was homeless, broke and hungry. He took a chance and stole a few food items from a local grocery store. The moment he walked out of the store, a police officer stopped and arrested him.",0
Josh was upset with his job opportunities. Josh worked very hard on a project and gave a presentation on how it helped the business. Josh's boss was very pleased and decided to promote him on the spot.,0
"Josh was in a car accident and hospitalized and put on pain killers. He got addicted to the pain killers, and lost all motivation in life. He lost his job, his relationship, and home and ended up on the streets begging for money and food.",0
Jonathan was not feeling well the whole day. He consulted his family doctor to find out the reason for his medical condition. He was diagnosed with cancer and was admitted in the hospital for the treatment.,0
Jonathan has been sick for a week now and is in the hospital. The doctor comes to jonathans with possible good news about a new medication to treat his condition. The new medicine helps jonathan feel much better and he is now able to go hiking again.,0
"Johnny was sad because he had fallen ill and was in the hospital recovering. Late one night he suddenly got his energy back and was feeling a lot better, the medicine was working. Now johnny is fully recovered and is back to playing his favorite sport, soccer, with his friends.",0
John was very much fond of food and she took food at a roadside restaurant. Next day he got loose motion and so went to a doctor Seeing his health condition he got admitted in the hospital which made his parents sad,0
John was a brilliant boy but always played without studying his subjects When exam was near he studied till late nights with out taking food properly John fell ill at exam time and felt very sad.,0
John lost his money at his business. One day he plays solitaire game and win huge price money. And john turn into happy life.,0
John like to play football John while playing got injured and admitted to hospital John recovers from all his injury's,0
"John is very sociable and attend parties every night John always eat, drink very unhealthy food and he was not conscious in his health. One day john health become worst and he was hospitalized.",0
Joan is pregnant with her first child. She started getting contractions and went to the hospital. She gave birth to a healthy baby girl.,0
"Jimmy liked to eat lots of sweets, like donuts and cupcakes. Jimmy ate so many sweets that he gained a lot of weight. At his next appointment, the doctor told jimmy that he has high blood sugar and could become very sick.",0
Jill was unhealthy because she a lot of junk food. Jill decide to learn how to cook healthy meals. All of jill's friends enjoy her healthy and delicious meals.,0
"Jerry has always been overweight, and always felt embarrassed by his weight. Jerry finally decided to get serious about his health and started regularly exercises and controlling his eating habits. Jerry dreamed of being in the army and was finally able to qualify after getting his health in order.",0
Jennifer came from the kitchen after keeping cooker on the stove to watch television in her living room. She was busy watching a program on crime report. Her pressure cooker spewed steam in a dangerous way that was left on the stove unmonitored for too long in the kitchen.,0
Jenni was having problems with her pregnancy. The doctor said there was a chance the baby would have a birth defect. The baby was born normal and is now very cheery.,0
James was homeless and had no money. Luckily he got a job as a construction worker. While digging on the site he found a large bundle of cash and became rich!,0
"Jackson's mom called him to come right home. When he got home, his mom told jackson that someone came and stole all the money she had saved. Without money, jackson and his mother were forced to live on the streets.",0
Jackson was office to leaving in home to happy meet to father Jackson fast to driving in car.so was jackson car is accident to opposite car Finally jackson was admit in hospital for treatment.,0
Jackie and her siblings wanted food to eat. Jackie went out and got a good job. She made lots of money and bought food for her family to eat.,0
He was happy when he realized he was full after the first donut. He was happy that he was able to catch the pot before it had a chance to boil over. They all agreed fruit was the best option for dessert.,0
"He is affected in fever so, he is admitted in hospital treatment. She is affected in pimples, so she is sad feel. A woman is attacked by an animal, so she is fear look",0
Hannah's mom went grocery shopping. Unfortunately she forgot her money at home. Her mom put the food back onto the shelf while the clerk watched.,0
"Had all the money he ever wanted. One day he got diagnosed with cancer. After hospital bills, he lost all his money and was forced to beg on the street",0
George was feeling hot and sweaty when he was out for a walk. He went to see dr. walker to make sure it was not serious. Dr. walker determined that george had covid-19 and admitted him to the hospital.,0
Gary plays soccer with his friends in humid weather. Gary enjoys a wide range of junk foods after playing. Gary falls sick and ends up in hospital.,0
Frank's car gets hit on his way to work. The accident makes frank late to work. He gets fired and has to beg for money.,0
Frank is a workaholic and always thinking about his career Frank met with an accident while he is driving and talking with the client on the phone Frank is hospitalized and end up as a disabled man.,0
Frank had lots of work to do in the field Franked worked hard in the hot weather without any water Working all day dehydrated frank and he got sick and needed iv fluids,0
Eric is feeling sweaty and tired. Eric books an appointment online to visit a local doctor. The doctor confirms he has covid-19 and he is concerned.,0
"Dr. thompson delivered the news that jane had been waiting for -- she was finally pregnant at age 40 -- but jane's age meant an increased chance of problems with the birth or the baby. Jane anxiously counted down the months until the baby was due; she was so nervous, she could hardly enjoy her own baby shower. Jane didn't have to worry though, because she gave birth to a healthy, happy baby boy who made jane's life complete.",0
Dave worked hard as a businessman. Then the market crashed suddenly. Dave lost everything he had.,0
Danny went to a party where there was a huge buffet of food. Danny sat down and ate donuts and other sweets all night. Danny got really sick and they had to pump his stomach and keep him overnight at the hospital.,0
Connor was playing soccer in the park. It started to storm and he was struck by lightning. Now he's in the hospital with bad injuries.,0
Brenda loved to eat. Brenda thought that she was expecting. It turned out she had just gained weight and there was no baby.,0
Bobby had cancer and spent a lot of time in the hospital. A doctor prescribe a new experimental treatment to help bobby deal with his cancer. The treatment caused bobby's cancer to go into remission allowing bobby to return to his normal life.,0
Bob was poor and didn't know where he could get money to pay his rent. Bob decided to rob a bank and get a lot of money. The police showed up shortly after and arrested bob for his crime.,0
"Bob had serious money issues which were threatening to bankrupt him. A rich man accidentally struck his car. The rich man didn't want to involve insurance, so he just gave bob a tremendous amount of money, solving all of bob's money woes.",0
"Billy was excited to travel as lock down was lifted But he was meet with an accident while driving his car Billy broken his leg and was admitted at the hospital, doctor said he has to take rest for at least 3 months",0
Billy was an active boy who loved playing soccer in his free time Billy was playing soccer when his ankle twisted so his parents took him to the hospital The doctor told billy his ankle was broken and he would not be able to play soccer for the rest of the season,0
Billy is not feeling well and is in the hospital. Dr. monroe is a very skilled physician and was able to cure billy. Billy's family and friends welcomed him home from the hospital with a party!,0
Barry worked so hard every day. He started to get bad headaches. Sadly a blood vessel burst in his head and he died.,0
Arnold was feeling very sick as he was sweating and running a fever. Arnold went to see dr. thompson and was told that he was very sick and would need to be admitted to the hospital. Arnold was in the hospital for a couple of weeks and was diagnosed with a chronic condition with his lungs.,0
"Anna felt really confused and scared when she realized she didn't know which road to take to get home. So she decided to trust her own senses and went on her way blindly. However, the night came and she had to make her homeless that night.",0
Alex was a working man and used to do workout regularly. But he left working out and started eating fast food. He became fat and eventually he fell ill.,0
"Alex is a young and dynamic person, who was working at a company. One day, he made a plan to go hiking in the desert alone. It was a bad decision as he fell ill after coming back from the hike.",0
Aaran loves eating very much Aaran spends his whole money in food and gets obesity Wasting too much of money aaran finally becomes a beggar,0
A pregnant woman started feeling a bit sick. The woman went to the doctor to see why she was hurting. The woman went back home to tell her husband that she was having a miscarriage.,0
A little boy was in the hospital because he wasn't feeling well. he was very ill and had to stay in bed all day hooked up to an iv. A doctor came in to see him and gave him a bad diagnosis. The little boy died shortly after and was buried in a grave next to a hill.,0
A family was really hungry and wanted to get food. They got food but got bad food. One of them got really bad food poisoning and had to go to the hospital.,0
A child was feeling very ill one morning. The childs grandmother found out about this and went out shopping. The grandmother came back and made a dinner that made the child feel healthy again.,0
"A boy named johnny is very good at soccer. Until one day, when his car is in an accident. And now he just lays in a hospital bed all day.",0
Woke up to find his favorite plant dead. Learned that his company was laying everyone off. Won the lottery the next day.,0
"Tom is the everyday average person who leaves his office job to go to a routine doctor's appointment. The doctor examines Tom and gives him some extra tests. Tom learns that he has a serious, incurable disease.",0
"Once upon a time there was a boy who was very sick at a young age. He was taken to a world famous doctor to find out why he was sick. The doctor found out what the boy was suffering from and healed him, and now the boy is happy and healthy.",0
"I broke my leg in a car accident on the road. She is resting on her bed in the room, but her heart is sad because she was a ballerina about to perform.",0
The three friends are going to a restaurant and enjoying a meal. John was admitted to the hospital because his blood levels were very low. Jack is very scary because he slept in a bad dream.,0
The pregnant woman visits the hospital The lady is asked to be admitted The baby is born,0
The lady thought she could eat as many donuts as she wanted. Now she feels sick and after a year she has put on a lot of weight.,0
The child was sick in the hospital The doctor came to visit The doctor said the child's parents had just been called to pick him up and that he would be fine,0
"The homeless man lost his job and had to beg for money. He saved all the money people gave him. With the money he saved, he was able to buy a house.",0
"The boy was playing soccer on a floor. He did his job very well, but he ate too many sweets. He had a great feeling for his fat",0
The boy had a high fever and is being hospitalized. The old women struggle to heal their grandsons in their lives. Nobody helps her. Eventually he developed psychosis due to a high fever.,0
"The boy was hospitalized. After he was healed, he became a soldier. He's retiring, getting a pension, and watching TV on weekends.",0
Sue and her son Johnny drive a car to visit their family in town. Sue is distracted and crashes into the car in front of them. Johnny is seriously injured in the crash and has to spend weeks in the hospital.,0
Steve worked hard as an accountant. One day his company had to file for bankruptcy and let him go. He couldn't find another job and became homeless.,0
"Stephanie got sick so she went to her doctor. The doctor told her she was just exhausted and needed to rest. After she rested, Stephanie felt so much better and was able to laugh with her friends the next day.",0
Stella went to gamble because she was in dire need of money. Luckily it was her night and she won a lot of money. She can't control her luck and laughed like hell at the money she won.,0
"Sofy went shopping and bought some groceries. After arriving home, she ate some of the food without knowing it was stale. After a while, she started vomiting and was taken to the hospital",0
Sofia plans to take classes for her students. But she forgets about class and starts to eat. Finally the headmaster scolded her about the lessons she had forgotten,0
She has a fever and is being hospitalized. She is affected by acne because of the heat and feels sad. She found that the skin disease was contagious and that she couldn't be invited to the party.,0
Scott worked long hours on his job and felt burned out. Scott decided to get on a plane and take a vacation. Scott went to the beach and enjoyed himself in tropical paradise for a week,0
Sara was a 90 year old lady. Sara didn't have enough to eat. She finally died of hunger.,0
"Tired of living with her abusive parents, Sandy decided to run away from home. She took the street to the right and walked a long time. She couldn't go on so she sat in a box and started begging for money.",0
"San felt very hungry after continuously taking online classes. He thought of going to the nearby pizzeria, but it was raining heavily. But to San's surprise, his mother prepared a delicious treat for him.",0
Sam had always been overweight. He decided to change his diet and exercise regularly. After a year he lost a lot of weight and felt better than ever.,0
"Peter was sick and had to stay in the hospital. He longed to play football again. His girlfriend Hannah, the ballerina, visited him and cheered him up!",0
"Peter is a little boy who always lies on the bed and watches TV when he is at home. He just goes to eat and eats too much without doing any physical activity. One fine day he became obese and everyone started laughing at him, which embarrassed him.",0
"Mr. Brown was nearing retirement age and looked forward to spending his golden years comfortably. To supplement his retirement income, Mr. Brown invested his savings in a fund that promised high returns. However, the fund turned out to be a scam and mr. Brown lost his savings and home, leaving him homeless and broke.",0
Mia decided to get rich instantly with what she had. Mia decides to get it through gambling. But mia's decision ended wrong. he lost all his money and became a debtor.,0
"Melissa Jones is lucky because she can eat any sweet snack she wants and she never puts on weight. Her brother Robert is not so lucky and has to pay close attention to his candy intake, which is not easy for him as he is a very sweet tooth and likes to eat snacks. Your parents decide to help the family eat more nutritious foods by giving them plenty of fresh fruit to enjoy, which they do thoroughly.",0
"Mary's family was seated at the dining table ready to eat their meal. Mary told them the food was still cooking and not ready, so they would have to wait. They were impatient so Mary went to taste it on the stove and her mouth burned badly.",0
"Mark was once a very healthy person and an avid runner. One day he became seriously ill and had to be hospitalized. Unfortunately, his doctor told him that he was terminally ill with an incurable disease.",0
Mark planned to meet up with his friends in a restaurant. He had an accident on the way to the restaurant. He was immediately rushed to the hospital and is in intensive care after several injuries.,0
"Kirby was homeless, broke, and hungry. He took the risk and stole some groceries from a local grocery store. When he was leaving the store, a police officer stopped and arrested him.",0
Josh was upset about his job opportunities. Josh worked very hard on a project and gave a presentation on how it helped the company. Josh's boss was very pleased and decided to promote him on the spot.,0
"Josh was in a car accident and was hospitalized and given pain medication. He became addicted to the pain killers and lost all motivation in life. He lost his job, relationship and home and ended up on the street begging for money and food.",0
Jonathan didn't feel well all day. He consulted his family doctor to find out the reason for his illness. He was diagnosed with cancer and was hospitalized for treatment.,0
Jonathan has been sick for a week and is in the hospital. The doctor comes to Jonathans with possibly good news about a new drug to treat his condition. The new drug helps Jonathan feel much better and can now go hiking again.,0
"Johnny was sad because he got sick and was recovering in the hospital. One night he suddenly got his energy back and felt much better, the medicine was working. Now Johnny has completely recovered and is back playing his favorite sport, soccer, with his friends.",0
"John was very fond of food and she took food out at a roadside restaurant. The next day he became too sedentary and went to the doctor. When he saw his health, he was hospitalized, which saddened his parents",0
"John was a brilliant boy, but he always played without studying his subjects. When the exam approached, he studied late into the night without actually eating. John fell ill at exam time and was very sad.",0
John lost his money in his business. One day he plays solitaire and wins huge prize money. And John turns into a happy life.,0
John likes to play soccer John was injured while playing and was hospitalized. John is recovering from all his injuries,0
John is very sociable and goes to parties every night. John eats and drinks very unhealthy food and was unaware of his health. One day John's health deteriorated and he was hospitalized.,0
Joan is pregnant with her first child. She went into labor and went to the hospital. She gave birth to a healthy girl.,0
"Jimmy liked to eat a lot of sweets, like donuts and cupcakes. Jimmy ate so much candy that he put on weight a lot. At his next appointment, the doctor told Jimmy that he had high blood sugar and could get very sick.",0
Jill was unhealthy because she was consuming a lot of junk food. Jill decides to learn how to prepare healthy meals. All of Jill's friends enjoy her healthy and delicious meals.,0
Jerry has always been overweight and always embarrassed about his weight. Jerry eventually decided to take his health seriously and began exercising regularly and controlling his eating habits. Jerry dreamed of being in the army and was finally able to qualify after getting his health in order.,0
Jennifer came out of the kitchen after leaving the stove on to watch TV in her living room. She was busy watching a program about a crime report. Your pressure cooker dangerously gave off steam that was left unattended on the stove in the kitchen for too long.,0
Jenni had problems with her pregnancy. The doctor said there was a possibility the baby might have a birth defect. The baby was born normally and is now very perky.,0
"James was homeless and had no money. Fortunately, he got a job as a construction worker. While digging on the site, he found a large wad of cash and got rich!",0
"Jackson's mother called him to come home right away. When he got home, his mother told Jackson that someone had come and stole all the money she had saved. Without money, Jackson and his mother had to live on the streets.",0
"Jackson was in the office to go home to quickly meet Father Jackson to drive in the car. so was jackson auto accident to car across the street. Finally, Jackson was hospitalized for treatment.",0
Jackie and her siblings wanted something to eat. Jackie went out and got a good job. She made a lot of money and bought food for her family.,0
He was happy when he realized he was full after the first donut. He was glad he could catch the pot before it could boil over. They all agreed that fruit was the best option for dessert.,0
He has a fever and is hospitalized. She has pimples that make her feel sad. A woman is attacked by an animal so she looks scared,0
Hannah's mother went shopping. Unfortunately she forgot her money at home. Her mother put the food back on the shelf while the clerk watched.,0
"Got as much money as he wanted. One day he was diagnosed with cancer. After hospital bills, he lost all his money and had to beg on the street",0
George was hot and sweaty when he went for a walk. He went to Dr. Walker to make sure it wasn't serious. Dr. Walker found that George had Covid-19 and took him to the hospital.,0
Gary plays soccer with his friends in wet weather. Gary enjoys a wide variety of junk food after playing. Gary falls ill and ends up in the hospital.,0
"When tom was a baby, his sister went missing. The police went to work looking for her. A few days later, she was found and reunited with tom.",0
"Two boys, john and james, have a fight. James fell on his head during the fight and was hospitalized. James tragically passed as the fall caused severe brain damage.",0
"Trevor was invited to his neighbors barbeque where there was a lot o food. Trevor ate a variety a foods and forget to check if any had peanuts since he was allergic. After a while, trevor became ill and needed to go to the hospital.",0
"Tommy was excited to visit his grandparents in another state with his father. Out of nowhere, another car crossed the center line and ran into tommy's car. Instead of visiting his family, tommy spent the holiday in the hospital.",0
Tommy was eating a lot and had gained quite a bit of weight. Tommy started eating healthy and ran in the park every day. Tommy went to see his doctor and his doctor said tommy was in fantastic shape.,0
Tommy is sick in the hospital and is unsure what is wrong with him. The doctor tells tommy he has and infection and will be better in about a week. In one weeks time tommy is back home playing video games with his online friends.,0
Tommy had been sick with a rare blood disorder. The doctor suggested an experimental new drug. The drug was a success and within weeks tommy was healthy enough to play soccer.,0
"Tom was sick and spent many days in the hospital, sad and lonely. A new doctor came in to treat tom. Tom is now fully healed and happy with his new girlfriend.",0
Tom was playing football on the road nearby his house Tom ran behind the ball as he kicked where a car was coming fast on the road. Unfortunately the car dashed him to accident and tom got admitted in the hospital for treatment.,0
"Tom was a kind and gentle baby. Then tom grew up and joined the army and was taught to kill. In the end, tom died himself after a big battle.",0
Tom asked jackson to play with him but jackson was too upset with him to play. Jackson called his friends to come over to tom's house. Jackson and his friend beat up tom.,0
"Tobey was in the hospital sick. His girlfriend sheila visited him. Sheila gave tobey a get well present, and tobey was happy.",0
"Timothy loved playing soccer because it made him forget about his childhood disease. During another struggle with his disease, timothy had to be hospitalized. Unfortunately, timothy and the doctors could no longer fight against the disease and he died at the age of twelve.",0
Timmy was very sick and in the hospital. The doctor did his best but could not seem to make timmy well. Timmy died and now timmy's parents put fresh flowers on his grave every week.,0
"Timmy was going through some traumatic experiences in his life. Timmy went to bed one night and had a nightmare that he can't stop thinking about. Timmy was so traumatized, that he cried in a restaurant.",0
"Timmy sit's at home playing video games with his friends due to a pandemic. Once the vaccine was available for the disease, timmy went to see his doctor to get his vaccine shot. Now, timmy is excited to play with his friends for real rather than just on video games.",0
Timmy played video games from dawn till dusk. His head really started to pound hard. Timmy ended up in a hospital bed with blurred vision.,0
Timmy got caught out in the rain while walking home from school and got very wet. The doctor came to look at timmy and said he had a very bad cold and a high fever. Timmy had to stay in bed for a week and could not see any of his friends because he was sick.,0
They spent the day at the theme park and started on their way home. A car ran a stop sign and slammed right into them. He survived the accident but would have to spend the next 6 months in the hospital. no more trips to the theme park this year.,0
There was an accident between two cars. The police came to investigate. One of the victims ended up in the hospital.,0
"There was a young man named gary who was loved by many people. Suddenly, gary was not feeling well. Gary was rushed to the hospital with a fatal aneurysm.",0
"There was a parade held one spring afternoon for the new leader that was elected to run the country. The new leader, while loved at first, began cracking down and arresting people he felt were evil and impure in society. Now we live in a society where the military watches over everyone and arrests people that disobey the leader's commands.",0
"The young girl, tori, lives in a war zone. One day a bomb hit her house, causing a fire. She made the news and the king saw her and invited her to dinner for peace talks.",0
The president was basking in the glory of his supporters. His motorcade was rammed by another car. One of his military guard assassinated him during all of the commotion.,0
The playing football in a ground The boy suddenly wanted to go to the beach and playing in a sand He drive a car it was accident,0
The man watched the news that announced stay at home orders to keep safe from the pandemic. The man ignored the order and went out to a rally. The man ended up getting really sick and ended up in the hospital with serious complications.,0
The lady riding the road She never saw a boy playing a keyboard in the street. They had an accident and both were admitted to the hospital.,0
"The honorable person was addressing the public through speaker. The military person was guarding them and providing security. Suddenly to protect the honorable person , the military person gets injured and gets admitted into the hospital.",0
The girl was walking in the park. The weather was very bad. The girl got home and was delighted to see her cat waiting for her.,0
The girl always uses mobile phone At sometime she has become mobile sick and got more addicted to it She is now admitted in hospital due to bad mental problems.,0
The driver of the blue car was not paying attention when he suddenly hit the red car. The driver of the red car immediately called the police to the scene. The drivers were relieved when the policeman arrived promptly and helped them to resolve the issue.,0
The doctor told larry he needed to lose weight or would face serious health issues. Larry ignored the advice and continued to overindulge with snacks. Larry was laid to rest after a fatal heart attack.,0
The city had a parade for the mayor. The car was rear ended by a drunk driver. The mayor died from his injuries,0
Terry went to the doctor because he was not feeling well. The doctor told him he was overweight and had to diet and exercise more. Terry started eating better and jogging and has lost 40 pounds and now feels great!,0
